ward_no,latitude,longitude,population
"Ward No. 87, Kolkata Municipal Corporation",22.513917,88.350694,12675
"Ward No. 88, Kolkata Municipal Corporation",22.514917,88.343694,Mayor-Council
"Ward No. 89, Kolkata Municipal Corporation",22.505222,88.347694,22304
"Ward No. 90, Kolkata Municipal Corporation",22.514222,88.366694,18857
"Ward No. 91, Kolkata Municipal Corporation",22.516222,88.378694,38450
"Ward No. 92, Kolkata Municipal Corporation",22.499833,88.369694,36450
"Ward No. 93, Kolkata Municipal Corporation",22.504833,88.363694,44364
"Ward No. 94, Kolkata Municipal Corporation",22.497833,88.351694,27469
"Ward No. 95, Kolkata Municipal Corporation",22.492833,88.361694,26737
"Ward No. 96, Kolkata Municipal Corporation",22.489833,88.370694,31033
"Ward No. 97, Kolkata Municipal Corporation",22.487833,88.348694,37199
"Ward No. 98, Kolkata Municipal Corporation",22.481833,88.359694,31708
"Ward No. 99, Kolkata Municipal Corporation",22.481833,88.371694,26739
"Ward No. 100, Kolkata Municipal Corporation",22.473833,88.371694,25507
"Ward No. 101, Kolkata Municipal Corporation",22.476833,88.381694,
"Ward No. 102, Kolkata Municipal Corporation",22.486833,88.376694,21503
"Ward No. 103, Kolkata Municipal Corporation",22.491833,88.383694,25428
"Ward No. 104, Kolkata Municipal Corporation",22.498833,88.383694,33185
"Ward No. 105, Kolkata Municipal Corporation",22.506833,88.387694,21267
"Ward No. 106, Kolkata Municipal Corporation",22.508833,88.387694,40618
"Ward No. 107, Kolkata Municipal Corporation",22.514833,88.397694,
"Ward No. 108, Kolkata Municipal Corporation",22.522133,88.409694,64777
"Ward No. 109, Kolkata Municipal Corporation",22.481833,88.400694,64567
"Ward No. 110, Kolkata Municipal Corporation",22.473833,88.382694,27470
"Ward No. 111, Kolkata Municipal Corporation",22.462833,88.370694,38647
"Ward No. 112, Kolkata Municipal Corporation",22.467833,88.365694,32404
"Ward No. 113, Kolkata Municipal Corporation",22.472833,88.354694,33475
"Ward No. 114, Kolkata Municipal Corporation",22.476833,88.348806,Netaji
"Ward No. 115, Kolkata Municipal Corporation",22.481833,88.341806,31919
"Ward No. 116, Kolkata Municipal Corporation",22.496833,88.336806,28338
"Ward No. 117, Kolkata Municipal Corporation",22.501833,88.337806,21824
"Ward No. 118, Kolkata Municipal Corporation",22.506833,88.331806,21810
"Ward No. 119, Kolkata Municipal Corporation",22.503833,88.322806,16491
"Ward No. 120, Kolkata Municipal Corporation",22.496833,88.319806,19710
"Ward No. 121, Kolkata Municipal Corporation",22.489222,88.327389,22921
"Ward No. 122, Kolkata Municipal Corporation",22.483222,88.328389,39198
"Ward No. 123, Kolkata Municipal Corporation",22.481833,88.316694,35836
"Ward No. 124, Kolkata Municipal Corporation",22.468675,88.316694,39179
"Ward No. 125, Kolkata Municipal Corporation",22.473275,88.301694,44850
"Ward No. 126, Kolkata Municipal Corporation",22.473275,88.297694,31631
"Ward No. 127, Kolkata Municipal Corporation",22.478235,88.288694,43782
"Ward No. 128, Kolkata Municipal Corporation",22.488345,88.297694,32179
"Ward No. 129, Kolkata Municipal Corporation",22.496735,88.297694,
"Ward No. 130, Kolkata Municipal Corporation",22.498125,88.310694,
"Ward No. 131, Kolkata Municipal Corporation",22.508135,88.301694,Ratna Chatterjee
"Ward No. 132, Kolkata Municipal Corporation",22.507865,88.314694,26274
"Ward No. 133, Kolkata Municipal Corporation",22.538111,88.286556,25588
"Ward No. 134, Kolkata Municipal Corporation",22.545111,88.291556,35780
"Ward No. 135, Kolkata Municipal Corporation",22.546806,88.284556,33258
"Ward No. 136, Kolkata Municipal Corporation",22.539806,88.281556,Mayor-Council
"Ward No. 137, Kolkata Municipal Corporation",22.548806,88.273556,Mayor-Council
"Ward No. 138, Kolkata Municipal Corporation",22.548806,88.268556,28858
"Ward No. 139, Kolkata Municipal Corporation",22.539806,88.267556,42014
"Ward No. 140, Kolkata Municipal Corporation",22.546806,88.261556,30504
"Ward No. 141, Kolkata Municipal Corporation",22.554417,88.254556,41152
"Ward No. 142, Kolkata Municipal Corporation",22.464889,88.331542,Raghunath Patra
"Ward No. 143, Kolkata Municipal Corporation",22.456589,88.321242,+91 33
"Ward No. 144, Kolkata Municipal Corporation",22.456789,88.301242,700104 700041 700082
